2022-11-15,17:50:22.018,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC ,HL      ,EL ,BF      ,SF   ,PF      ,BV     ,rpm             ,Setpoint ,Error ,Depth ,avg_p ,direction ,Voltage         ,State   ,Safety   ,Payload ,TestMode 
2022-11-15,17:50:22.023,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,0  ,0  ,initial ,0  ,initial ,None ,initial ,483.58 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:22.541,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.58 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:23.057,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.58 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:23.592,19.62 ,-74.10 ,19.54 ,19.77 ,20.61 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,10.49 ,10.13 ,10.07 ,10.21 ,1450.40 ,1053.78 ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.17 ,Buffering (0/1) ,None     ,None  ,None  ,10.23 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:24.132,19.70 ,19.44 ,19.20 ,19.49 ,20.62 ,0.00 ,0.00 ,0.00 ,10.50 ,10.13 ,10.07 ,10.21 ,1450.38 ,1051.84 ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.72 ,Buffering (0/1) ,None     ,None  ,None  ,10.23 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:24.678,19.69 ,19.44 ,19.19 ,19.48 ,20.62 ,0.00 ,0.00 ,0.00 ,10.50 ,10.13 ,10.07 ,10.21 ,1450.24 ,1051.82 ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.72 ,Buffering (0/1) ,None     ,None  ,None  ,10.23 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:25.219,19.69 ,19.44 ,19.19 ,19.48 ,20.62 ,0.00 ,0.00 ,0.00 ,10.50 ,10.13 ,10.07 ,10.21 ,1450.26 ,1051.80 ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.72 ,Buffering (0/1) ,None     ,None  ,None  ,10.23 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:25.763,19.70 ,19.44 ,19.19 ,19.48 ,20.62 ,0.00 ,0.00 ,0.01 ,10.51 ,10.14 ,10.07 ,10.21 ,1450.28 ,1051.74 ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.99 ,Buffering (0/1) ,None     ,None  ,None  ,10.23 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:26.309,19.70 ,19.44 ,19.19 ,19.48 ,20.62 ,0.00 ,0.00 ,0.01 ,10.51 ,10.14 ,10.07 ,10.21 ,1450.24 ,1051.64 ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.85 ,Buffering (0/1) ,None     ,None  ,None  ,10.23 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:26.848,19.70 ,19.44 ,19.18 ,19.47 ,20.62 ,0.00 ,0.00 ,0.00 ,10.53 ,10.14 ,10.07 ,10.21 ,1450.14 ,1051.68 ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.44 ,Buffering (0/1) ,None     ,None  ,None  ,10.24 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:27.389,19.71 ,19.43 ,19.18 ,19.47 ,20.62 ,0.00 ,0.00 ,0.00 ,10.53 ,10.14 ,10.07 ,10.21 ,1450.14 ,1051.74 ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.31 ,Buffering (0/1) ,None     ,None  ,None  ,10.24 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:27.930,19.71 ,19.43 ,19.18 ,19.47 ,20.62 ,0.00 ,0.00 ,0.00 ,10.55 ,10.14 ,10.07 ,10.21 ,1449.98 ,1051.74 ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.72 ,Buffering (0/1) ,None     ,None  ,None  ,10.24 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:28.473,19.71 ,19.43 ,19.18 ,19.47 ,20.62 ,0.00 ,0.00 ,0.00 ,10.55 ,10.14 ,10.07 ,10.21 ,1450.04 ,1051.84 ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.31 ,Buffering (0/1) ,None     ,None  ,None  ,10.24 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:29.016,19.71 ,19.43 ,19.18 ,19.47 ,20.62 ,0.00 ,0.00 ,0.00 ,10.56 ,10.13 ,10.07 ,10.21 ,1450.00 ,1051.90 ,0.82 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,483.44 ,Buffering (0/1) ,None     ,None  ,None  ,10.24 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
