2022-11-15,17:50:41.825,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC ,HL      ,EL ,BF      ,SF   ,PF      ,BV     ,rpm             ,Setpoint ,Error ,Depth ,avg_p ,direction ,Voltage         ,State   ,Safety   ,Payload ,TestMode 
2022-11-15,17:50:41.829,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,0  ,0  ,initial ,0  ,initial ,None ,initial ,498.89 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:42.371,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,498.66 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:42.922,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,498.34 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:43.479,21.70 ,-86.04 ,21.86 ,21.86 ,22.70 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.45 ,11.26 ,10.35 ,10.44 ,1613.70 ,1050.26 ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,499.03 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:44.027,21.78 ,21.30 ,21.51 ,21.51 ,22.75 ,0.00 ,0.00 ,0.01 ,11.44 ,11.26 ,10.35 ,10.44 ,1613.74 ,1048.26 ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,499.17 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:44.581,21.78 ,21.31 ,21.51 ,21.51 ,22.75 ,0.00 ,0.00 ,0.01 ,11.43 ,11.26 ,10.35 ,10.44 ,1613.68 ,1048.28 ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,498.75 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:45.128,21.78 ,21.31 ,21.51 ,21.50 ,22.75 ,0.00 ,0.00 ,0.01 ,11.42 ,11.26 ,10.35 ,10.44 ,1613.74 ,1048.30 ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,498.52 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:45.690,21.78 ,21.31 ,21.50 ,21.50 ,22.75 ,0.00 ,0.00 ,0.01 ,11.42 ,11.26 ,10.35 ,10.44 ,1613.66 ,1048.30 ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,498.34 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:46.247,21.78 ,21.31 ,21.50 ,21.50 ,22.75 ,-0.00 ,0.01 ,0.01 ,11.42 ,11.26 ,10.35 ,10.44 ,1613.72 ,1048.38 ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,498.52 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:46.804,21.78 ,21.31 ,21.50 ,21.51 ,22.75 ,-0.00 ,0.01 ,0.01 ,11.42 ,11.26 ,10.35 ,10.44 ,1613.66 ,1048.46 ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,498.62 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:47.361,21.78 ,21.31 ,21.50 ,21.51 ,22.75 ,-0.00 ,0.01 ,0.01 ,11.43 ,11.26 ,10.35 ,10.44 ,1613.62 ,1048.50 ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,498.48 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:47.917,21.78 ,21.31 ,21.50 ,21.51 ,22.75 ,-0.00 ,0.01 ,0.01 ,11.42 ,11.26 ,10.35 ,10.44 ,1613.52 ,1048.50 ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,498.48 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:48.471,21.78 ,21.31 ,21.50 ,21.51 ,22.75 ,-0.00 ,0.01 ,0.01 ,11.43 ,11.26 ,10.35 ,10.44 ,1613.48 ,1048.48 ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,498.48 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:49.029,21.78 ,21.31 ,21.50 ,21.51 ,22.75 ,-0.00 ,0.01 ,0.01 ,11.42 ,11.26 ,10.35 ,10.44 ,1613.38 ,1048.58 ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,497.79 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:50:49.581,21.78 ,21.31 ,21.50 ,21.51 ,22.75 ,-0.00 ,0.01 ,0.01 ,11.42 ,11.26 ,10.35 ,10.44 ,1613.40 ,1048.66 ,1.43 ,100.00 ,initial ,0  ,full ,None ,initial ,498.07 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
