2022-11-15,18:00:07.138,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC ,HL      ,EL   ,BF      ,SF   ,PF      ,BV     ,rpm             ,Setpoint ,Error ,Depth ,avg_p ,direction ,Voltage         ,State   ,Safety               ,Payload ,TestMode 
2022-11-15,18:00:07.141,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,0  ,0  ,initial ,None ,initial ,None ,initial ,467.98 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping_weightFixed ,None    ,on       
2022-11-15,18:00:13.295,Buffering (2/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.45 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:13.801,Buffering (3/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.45 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:14.358,Buffering (4/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.45 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:14.913,21.70 ,Buffering (4/5) ,21.73 ,21.76 ,22.51 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.51 ,11.25 ,10.33 ,10.44 ,1590.92 ,1073.00 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,466.53 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:15.425,21.78 ,21.27 ,21.39 ,21.42 ,22.55 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.51 ,11.25 ,10.33 ,10.44 ,1590.68 ,1070.92 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.58 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:15.938,21.78 ,21.27 ,21.39 ,21.42 ,22.55 ,0.00 ,0.00 ,0.00 ,11.50 ,11.25 ,10.33 ,10.44 ,1590.56 ,1070.98 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.06 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:16.504,21.78 ,21.27 ,21.39 ,21.42 ,22.55 ,0.00 ,0.00 ,0.00 ,11.52 ,11.25 ,10.33 ,10.44 ,1590.44 ,1070.88 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,468.11 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:17.056,21.78 ,21.27 ,21.40 ,21.43 ,22.55 ,0.00 ,-0.01 ,0.00 ,11.51 ,11.25 ,10.33 ,10.44 ,1590.24 ,1070.96 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,466.93 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:17.615,21.78 ,21.27 ,21.40 ,21.43 ,22.55 ,0.00 ,-0.01 ,0.00 ,11.51 ,11.25 ,10.33 ,10.44 ,1590.00 ,1070.74 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.98 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:18.169,21.78 ,21.27 ,21.40 ,21.43 ,22.55 ,0.00 ,-0.00 ,0.00 ,11.50 ,11.25 ,10.33 ,10.44 ,1589.86 ,1070.72 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.72 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:18.730,21.78 ,21.27 ,21.40 ,21.43 ,22.55 ,0.00 ,-0.01 ,0.00 ,11.51 ,11.25 ,10.33 ,10.44 ,1589.72 ,1070.76 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,466.79 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:19.292,21.78 ,21.27 ,21.39 ,21.44 ,22.55 ,0.00 ,-0.01 ,0.00 ,11.50 ,11.25 ,10.33 ,10.44 ,1589.54 ,1070.78 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.98 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:19.850,21.78 ,21.27 ,21.39 ,21.44 ,22.55 ,0.00 ,-0.00 ,-0.00 ,11.50 ,11.25 ,10.33 ,10.44 ,1589.44 ,1070.66 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.72 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:20.405,21.78 ,21.27 ,21.39 ,21.44 ,22.55 ,0.00 ,-0.00 ,-0.00 ,11.51 ,11.25 ,10.33 ,10.44 ,1589.34 ,1070.72 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.58 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:20.960,21.78 ,21.27 ,21.39 ,21.44 ,22.55 ,0.00 ,-0.00 ,-0.01 ,11.51 ,11.25 ,10.33 ,10.44 ,1589.14 ,1070.74 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.58 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:21.514,21.78 ,21.27 ,21.39 ,21.44 ,22.55 ,0.00 ,-0.00 ,-0.01 ,11.51 ,11.25 ,10.33 ,10.44 ,1589.04 ,1070.60 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.76 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,18:00:22.071,21.78 ,21.27 ,21.39 ,21.44 ,22.55 ,0.00 ,0.01 ,0.00 ,11.51 ,11.25 ,10.33 ,10.44 ,1588.96 ,1070.58 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,468.11 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,calibrating ,sleeping ,None    ,off      
2022-11-15,18:00:22.624,21.78 ,21.28 ,21.39 ,21.44 ,22.55 ,0.00 ,0.01 ,0.00 ,11.51 ,11.25 ,10.33 ,10.44 ,1588.86 ,1070.56 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.85 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,calibrating ,sleeping ,None    ,off      
2022-11-15,18:00:23.174,21.79 ,21.28 ,21.39 ,21.44 ,22.55 ,0.00 ,0.00 ,0.00 ,11.51 ,11.25 ,10.33 ,10.44 ,1588.66 ,1070.50 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.98 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,calibrating ,sleeping ,None    ,off      
2022-11-15,18:00:23.726,21.79 ,21.28 ,21.39 ,21.45 ,22.55 ,0.00 ,0.01 ,0.00 ,11.51 ,11.25 ,10.33 ,10.44 ,1588.70 ,1070.44 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.98 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,calibrating ,sleeping ,None    ,off      
